,,,,,Unhealthy Food Access : Summarize
Topic: Environment
Subtopic: Active Design
Indicator Name: Unhealthy Food Access
Indicator Description: 

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Ratio of Bodegas to Supermarkets,Notes Ratio of Bodegas to Supermarkets,
2016,Citywide,New York City, New York City,1,Unhealthy Food Access,13,,
2016,Borough,Bronx, Bronx,1,Unhealthy Food Access,15,,
2016,Borough,Brooklyn, Brooklyn,2,Unhealthy Food Access,20,,
2016,Borough,Manhattan, Manhattan,3,Unhealthy Food Access,9,,
2016,Borough,Queens, Queens,4,Unhealthy Food Access,10,,
2016,Borough,Staten Island, Staten Island,5,Unhealthy Food Access,12,,
2016,Neighborhood (Community District),Brooklyn, Bay Ridge and Dyker Heights (CD10),310,Unhealthy Food Access,20,,
2016,Neighborhood (Community District),Queens, Bayside and Little Neck (CD11),411,Unhealthy Food Access,5,,
2016,Neighborhood (Community District),Brooklyn, Bedford Stuyvesant (CD3),303,Unhealthy Food Access,57,,
2016,Neighborhood (Community District),Bronx, Belmont and East Tremont (CD6),206,Unhealthy Food Access,37,,
2016,Neighborhood (Community District),Brooklyn, Bensonhurst (CD11),311,Unhealthy Food Access,27,,
2016,Neighborhood (Community District),Brooklyn, Borough Park (CD12),312,Unhealthy Food Access,18,,
2016,Neighborhood (Community District),Brooklyn, Brownsville (CD16),316,Unhealthy Food Access,15,,
2016,Neighborhood (Community District),Brooklyn, Bushwick (CD4),304,Unhealthy Food Access,31,,
2016,Neighborhood (Community District),Manhattan, Central Harlem (CD10),110,Unhealthy Food Access,11,,
2016,Neighborhood (Community District),Manhattan, Clinton and Chelsea (CD4),104,Unhealthy Food Access,7,,
2016,Neighborhood (Community District),Brooklyn, Coney Island (CD13),313,Unhealthy Food Access,21,,
2016,Neighborhood (Community District),Brooklyn, Crown Heights and Prospect Heights (CD8),308,Unhealthy Food Access,25,,
2016,Neighborhood (Community District),Brooklyn, East Flatbush (CD17),317,Unhealthy Food Access,21,,
2016,Neighborhood (Community District),Manhattan, East Harlem (CD11),111,Unhealthy Food Access,17,,
2016,Neighborhood (Community District),Brooklyn, East New York and Starrett City (CD5),305,Unhealthy Food Access,13,,
2016,Neighborhood (Community District),Queens, Elmhurst and Corona (CD4),404,Unhealthy Food Access,16,,
2016,Neighborhood (Community District),Manhattan, Financial District (CD1),101,Unhealthy Food Access,6,,
2016,Neighborhood (Community District),Brooklyn, Flatbush and Midwood (CD14),314,Unhealthy Food Access,21,,
2016,Neighborhood (Community District),Brooklyn, Flatlands and Canarsie (CD18),318,Unhealthy Food Access,9,,
2016,Neighborhood (Community District),Queens, Flushing and Whitestone (CD7),407,Unhealthy Food Access,6,,
2016,Neighborhood (Community District),Bronx, Fordham and University Heights (CD5),205,Unhealthy Food Access,20,,
2016,Neighborhood (Community District),Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,Unhealthy Food Access,12,,
2016,Neighborhood (Community District),Brooklyn, Greenpoint and Williamsburg (CD1),301,Unhealthy Food Access,25,,
2016,Neighborhood (Community District),Manhattan, Greenwich Village and Soho (CD2),102,Unhealthy Food Access,7,,
2016,Neighborhood (Community District),Bronx, Highbridge and Concourse (CD4),204,Unhealthy Food Access,18,,
2016,Neighborhood (Community District),Queens, Hillcrest and Fresh Meadows (CD8),408,Unhealthy Food Access,5,,
2016,Neighborhood (Community District),Bronx, Hunts Point and Longwood (CD2),202,Unhealthy Food Access,20,,
2016,Neighborhood (Community District),Queens, Jackson Heights (CD3),403,Unhealthy Food Access,17,,
2016,Neighborhood (Community District),Queens, Jamaica and Hollis (CD12),412,Unhealthy Food Access,20,,
2016,Neighborhood (Community District),Queens, Kew Gardens and Woodhaven (CD9),409,Unhealthy Food Access,11,,
2016,Neighborhood (Community District),Bronx, Kingsbridge Heights and Bedford (CD7),207,Unhealthy Food Access,18,,
2016,Neighborhood (Community District),Queens, Long Island City and Astoria (CD1),401,Unhealthy Food Access,10,,
2016,Neighborhood (Community District),Manhattan, Lower East Side and Chinatown (CD3),103,Unhealthy Food Access,18,,
2016,Neighborhood (Community District),Manhattan, Midtown (CD5),105,Unhealthy Food Access,11,,
2016,Neighborhood (Community District),Manhattan, Morningside Heights and Hamilton Heights (CD9),109,Unhealthy Food Access,11,,
2016,Neighborhood (Community District),Bronx, Morris Park and Bronxdale (CD11),211,Unhealthy Food Access,17,,
2016,Neighborhood (Community District),Bronx, Morrisania and Crotona (CD3),203,Unhealthy Food Access,10,,
2016,Neighborhood (Community District),Bronx, Mott Haven and Melrose (CD1),201,Unhealthy Food Access,25,,
2016,Neighborhood (Community District),Brooklyn, Park Slope and Carroll Gardens (CD6),306,Unhealthy Food Access,12,,
2016,Neighborhood (Community District),Bronx, Parkchester and Soundview (CD9),209,Unhealthy Food Access,13,,
2016,Neighborhood (Community District),Queens, Queens Village (CD13),413,Unhealthy Food Access,14,,
2016,Neighborhood (Community District),Queens, Rego Park and Forest Hills (CD6),406,Unhealthy Food Access,5,,
2016,Neighborhood (Community District),Queens, Ridgewood and Maspeth (CD5),405,Unhealthy Food Access,15,,
2016,Neighborhood (Community District),Bronx, Riverdale and Fieldston (CD8),208,Unhealthy Food Access,10,,
2016,Neighborhood (Community District),Queens, Rockaway and Broad Channel (CD14),414,Unhealthy Food Access,8,,
2016,Neighborhood (Community District),Brooklyn, Sheepshead Bay (CD15),315,Unhealthy Food Access,25,,
2016,Neighborhood (Community District),Staten Island, South Beach and Willowbrook (CD2),502,Unhealthy Food Access,7,,
2016,Neighborhood (Community District),Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,Unhealthy Food Access,21,,
2016,Neighborhood (Community District),Queens, South Ozone Park and Howard Beach (CD10),410,Unhealthy Food Access,8,,
2016,Neighborhood (Community District),Staten Island, St. George and Stapleton (CD1),501,Unhealthy Food Access,28,,
2016,Neighborhood (Community District),Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,Unhealthy Food Access,7,,
2016,Neighborhood (Community District),Brooklyn, Sunset Park (CD7),307,Unhealthy Food Access,45,,
2016,Neighborhood (Community District),Bronx, Throgs Neck and Co-op City (CD10),210,Unhealthy Food Access,7,,
2016,Neighborhood (Community District),Staten Island, Tottenville and Great Kills (CD3),503,Unhealthy Food Access,4,,
2016,Neighborhood (Community District),Manhattan, Upper East Side (CD8),108,Unhealthy Food Access,5,,
2016,Neighborhood (Community District),Manhattan, Upper West Side (CD7),107,Unhealthy Food Access,3,,
2016,Neighborhood (Community District),Manhattan, Washington Heights and Inwood (CD12),112,Unhealthy Food Access,13,,
2016,Neighborhood (Community District),Bronx, Williamsbridge and Baychester (CD12),212,Unhealthy Food Access,8,,
2016,Neighborhood (Community District),Queens, Woodside and Sunnyside (CD2),402,Unhealthy Food Access,16,,

Name:Unhealthy Food Access,Measure:Ratio of Bodegas to Supermarkets,How Calculated:<p>The number of bodegas per supermarket within an area based on address of business.</p>
<p>Bodegas are defined as food purchasing establishments with less than 4000 square foot and excludes specialty stores such as bakeries and vitamin stores.</p>
<p>Supermarkets are defined as retail food purchasing establishments with greater than or equal to 10000 square feet or have a chain supermarket name regardless of size.&nbsp;</p>,Source(s):NYS Department of Agriculture ,Year:2016,

NYC Department of Health and Mental Hygiene
Environment & Health Data Portal
More information can be found at: http://nyc.gov/health/tracking
Accessed 05/12/2020
