Geography,Indicator Name,Number,Percent
 New York City,Overweight or Obese Adults,"3,692,000",57.4
 Bronx,Overweight or Obese Adults,"720,000",69.3
 Brooklyn,Overweight or Obese Adults,"1,132,000",58.2
 Manhattan,Overweight or Obese Adults,"582,000",44.4
 Queens,Overweight or Obese Adults,"1,037,000",58.2
 Staten Island,Overweight or Obese Adults,"221,000",61.4
 Bayside Little Neck-Fresh Meadows,Overweight or Obese Adults,"80,000",53.4
 Bedford Stuyvesant - Crown Heights,Overweight or Obese Adults,"163,000",67.2
 Bensonhurst - Bay Ridge,Overweight or Obese Adults,"83,000",50.3
 Borough Park,Overweight or Obese Adults,"136,000",56.3
 Canarsie - Flatlands,Overweight or Obese Adults,"93,000",61.3
 Central Harlem - Morningside Heights,Overweight or Obese Adults,"64,000",52.4
 Chelsea-Village,Overweight or Obese Adults,"75,000",36.7
 Coney Island - Sheepshead Bay,Overweight or Obese Adults,"142,000",60.6
 Downtown - Heights - Slope,Overweight or Obese Adults,"79,000",44.2
 East Flatbush - Flatbush,Overweight or Obese Adults,"149,000",63.6
 East Harlem,Overweight or Obese Adults,"51,000",62
 East New York,Overweight or Obese Adults,"89,000",66.7
 Flushing - Clearview,Overweight or Obese Adults,"103,000",48.7
 Fordham - Bronx Pk,Overweight or Obese Adults,"124,000",65.1
 Greenpoint,Overweight or Obese Adults,"52,000",50.7
 Jamaica,Overweight or Obese Adults,"151,000",67.5
 Kingsbridge - Riverdale,Overweight or Obese Adults,"39,000",54.7
 Long Island City - Astoria,Overweight or Obese Adults,"102,000",60
 Northeast Bronx,Overweight or Obese Adults,"103,000",69.4
 Northern SI,Overweight or Obese Adults,"92,000",64.6
 Pelham - Throgs Neck,Overweight or Obese Adults,"157,000",67.8
 Ridgewood - Forest Hills,Overweight or Obese Adults,"120,000",59.5
 Rockaways,Overweight or Obese Adults,"62,000",76.5
 South Bronx,Overweight or Obese Adults,"293,000",75.1
 Southeast Queens,Overweight or Obese Adults,"90,000",58.4
 Southern SI,Overweight or Obese Adults,"129,000",59.5
 Southwest Queens,Overweight or Obese Adults,"126,000",60.5
 Sunset Park,Overweight or Obese Adults,"47,000",48.9
 Union Square-Lower Manhattan,Overweight or Obese Adults,"77,000",37
 Upper East Side-Gramercy,Overweight or Obese Adults,"116,000",37.4
 Upper West Side,Overweight or Obese Adults,"78,000",42.4
 Washington Heights,Overweight or Obese Adults,"120,000",60.9
 West Queens,Overweight or Obese Adults,"201,000",53.5
 Williamsburg - Bushwick,Overweight or Obese Adults,"95,000",59.4