Borough,Geography,Number,Percent
New York City, New York City,"342,258",7.8
Bronx, Bronx,"77,907",11.6
Brooklyn, Brooklyn,"106,976",8.1
Manhattan, Manhattan,"59,771",6.2
Queens, Queens,"85,160",6.9
Staten Island, Staten Island,"12,444",5.5
Queens, Bayside - Little Neck,"2,461",5.2
Brooklyn, Bedford Stuyvesant - Crown Heights,"16,475",9.6
Brooklyn, Bensonhurst - Bay Ridge,"7,139",6.8
Brooklyn, Borough Park,"10,162",6.8
Brooklyn, Canarsie - Flatlands,"8,420",7.8
Manhattan, Central Harlem - Morningside Heights,"8,793",9.7
Manhattan, Chelsea - Clinton,"5,182",4.8
Brooklyn, Coney Island - Sheepshead Bay,"11,129",8.2
Bronx, Crotona -Tremont,"13,742",14.3
Brooklyn, Downtown - Heights - Slope,"9,448",6.3
Brooklyn, East Flatbush - Flatbush,"13,217",8.4
Manhattan, East Harlem,"6,034",11.4
Brooklyn, East New York,"8,440",9.8
Queens, Flushing - Clearview,"6,141",4.8
Bronx, Fordham - Bronx Pk,"17,315",13.5
Queens, Fresh Meadows,"4,009",7.9
Manhattan, Gramercy Park - Murray Hill,"3,052",3.5
Brooklyn, Greenpoint,"4,459",5.6
Manhattan, Greenwich Village - SoHo,"2,350",4.2
Bronx, High Bridge - Morrisania,"11,198",11.8
Bronx, Hunts Point - Mott Haven,"6,199",10.9
Queens, Jamaica,"17,439",10.4
Bronx, Kingsbridge - Riverdale,"3,987",8.2
Queens, Long Island City - Astoria,"8,691",6.6
Manhattan, Lower Manhattan,"1,441",3.8
Bronx, Northeast Bronx,"9,965",9.7
Bronx, Pelham - Throgs Neck,"16,138",10.8
Staten Island, Port Richmond,"1,780",6
Queens, Ridgewood - Forest Hills,"7,567",5.4
Queens, Rockaways,"4,752",8.9
Staten Island, South Beach - Tottenville,"4,988",5.2
Queens, Southeast Queens,"10,022",6.9
Queens, Southwest Queens,"12,294",8
Staten Island, Stapleton - St. George,"3,468",6.1
Brooklyn, Sunset Park,"4,860",7.5
Manhattan, Union Square - Lower East Side,"6,515",6.1
Manhattan, Upper East Side,"4,162",3
Manhattan, Upper West Side,"6,433",5
Manhattan, Washington Heights,"15,172",9.7
Queens, West Queens,"13,295",5.4
Brooklyn, Williamsburg - Bushwick,"13,227",11.2
Staten Island, Willowbrook,"2,208",5.1